127.0.0.1 - - [01/Jun/2022:08:35:25 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [01/Jun/2022:08:35:28 +0530] "GET /JSP_Learning/index.jsp HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [01/Jun/2022:08:35:28 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [01/Jun/2022:08:35:56 +0530] "GET /JSP_Learning/index.jsp HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [01/Jun/2022:08:36:26 +0530] "GET /JSP_Learning/index.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [01/Jun/2022:08:37:08 +0530] "GET /JSP_Learning/index.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [01/Jun/2022:08:38:29 +0530] "GET /JSP_Learning/index.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [01/Jun/2022:08:39:27 +0530] "GET /JSP_Learning/index.jsp HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [01/Jun/2022:08:39:59 +0530] "GET /JSP_Learning/index.jsp HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [01/Jun/2022:08:49:05 +0530] "GET /JSP_Learning/index.jsp HTTP/1.1" 500 2563
0:0:0:0:0:0:0:1 - - [01/Jun/2022:08:49:37 +0530] "GET /JSP_Learning/index.jsp HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [01/Jun/2022:08:50:38 +0530] "GET /JSP_Learning/home.jsp HTTP/1.1" 500 2612
0:0:0:0:0:0:0:1 - - [01/Jun/2022:08:51:00 +0530] "GET /JSP_Learning/home.jsp HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [01/Jun/2022:08:57:00 +0530] "GET /JSP_Learning/home.jsp HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [01/Jun/2022:08:57:05 +0530] "GET /JSP_Learning/abount.jsp HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [01/Jun/2022:08:57:09 +0530] "GET /JSP_Learning/about.jsp HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [01/Jun/2022:08:58:47 +0530] "GET /JSP_Learning/about.jsp HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [01/Jun/2022:08:58:49 +0530] "GET /JSP_Learning/home.jsp HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [01/Jun/2022:08:58:51 +0530] "GET /JSP_Learning/about.jsp HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:00:42 +0530] "GET /JSP_Learning/home.jsp HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:00:59 +0530] "GET /JSP_Learning/home.jsp HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:01:00 +0530] "GET /JSP_Learning/about.jsp HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:02:36 +0530] "GET /JSP_Learning/about.jsp HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:02:48 +0530] "GET /JSP_Learning/about.jsp HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:02:51 +0530] "GET /JSP_Learning/home.jsp HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:02:53 +0530] "GET /JSP_Learning/about.jsp HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:02:54 +0530] "GET /JSP_Learning/contact.jsp HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:02:55 +0530] "GET /JSP_Learning/about.jsp HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:02:56 +0530] "GET /JSP_Learning/home.jsp HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:02:57 +0530] "GET /JSP_Learning/about.jsp HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:02:58 +0530] "GET /JSP_Learning/contact.jsp HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:05:00 +0530] "GET /JSP_Learning/contact.jsp HTTP/1.1" 200 457
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:05:02 +0530] "GET /JSP_Learning/portfolio.jsp HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:06:08 +0530] "GET /JSP_Learning/contact.jsp HTTP/1.1" 200 457
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:06:09 +0530] "GET /JSP_Learning/home.jsp HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:06:10 +0530] "GET /JSP_Learning/about.jsp HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:06:11 +0530] "GET /JSP_Learning/contact.jsp HTTP/1.1" 200 457
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:06:12 +0530] "GET /JSP_Learning/portfolio.jsp HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:10:20 +0530] "GET /JSP_Learning/index.jsp HTTP/1.1" 500 204
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:11:12 +0530] "GET /JSP_Learning/index.jsp HTTP/1.1" 500 241
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:14:05 +0530] "GET /JSP_Learning/about.jsp HTTP/1.1" 200 756
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:17:09 +0530] "GET /JSP_Learning/about.jsp HTTP/1.1" 500 3091
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:17:27 +0530] "GET /JSP_Learning/about.jsp HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:18:32 +0530] "GET /JSP_Learning/about.jsp HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:19:00 +0530] "GET /JSP_Learning/about.jsp HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:19:07 +0530] "GET /JSP_Learning/about.jsp HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:19:53 +0530] "GET /JSP_Learning/about.jsp HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:20:19 +0530] "GET /JSP_Learning/about.jsp HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:20:21 +0530] "GET /JSP_Learning/about.jsp HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:20:35 +0530] "GET /JSP_Learning/about.jsp HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:20:35 +0530] "GET /JSP_Learning/about.jsp HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:20:36 +0530] "GET /JSP_Learning/about.jsp HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:20:36 +0530] "GET /JSP_Learning/about.jsp HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:20:36 +0530] "GET /JSP_Learning/about.jsp HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:20:36 +0530] "GET /JSP_Learning/about.jsp HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:20:36 +0530] "GET /JSP_Learning/about.jsp HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:20:40 +0530] "GET /JSP_Learning/about.jsp HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:21:03 +0530] "GET /JSP_Learning/about.jsp HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:21:03 +0530] "GET /JSP_Learning/about.jsp HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:21:04 +0530] "GET /JSP_Learning/about.jsp HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:21:04 +0530] "GET /JSP_Learning/about.jsp HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:21:04 +0530] "GET /JSP_Learning/about.jsp HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:21:16 +0530] "GET /JSP_Learning/about.jsp HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:21:17 +0530] "GET /JSP_Learning/about.jsp HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:21:17 +0530] "GET /JSP_Learning/about.jsp HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:21:17 +0530] "GET /JSP_Learning/about.jsp HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:21:18 +0530] "GET /JSP_Learning/about.jsp HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:21:21 +0530] "GET /JSP_Learning/about.jsp HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:22:13 +0530] "GET /JSP_Learning/about.jsp HTTP/1.1" 200 460
0:0:0:0:0:0:0:1 - - [01/Jun/2022:09:22:14 +0530] "GET /JSP_Learning/about.jsp HTTP/1.1" 200 460
